gname,glong,glat,vlsr
G002.009-00.680,2.009,-0.68,18.2
G002.272+00.237,2.27246,0.237445,4.9
G002.404+00.068,2.404,0.068,7.1
G002.422-00.611,2.42263,-0.611,7.8
G002.521-00.024,2.52157,-0.0231409,8.3
G002.813-00.141,2.81311,-0.140414,2.5
G002.889-00.044,2.88951,-0.0439491,-2.1
G002.961-00.053,2.961,-0.053,-3.5
G002.961-00.053,2.961,-0.053,18.1
G003.251-00.276,3.25167,-0.275041,5.1
G003.266-00.061,3.26676,-0.0607374,7.1
G003.349-00.078,3.34952,-0.0770331,8.3
G003.439-00.349,3.439,-0.349,-21.6
G003.442-00.650,3.44252,-0.649314,0.1
G003.607-00.209,3.60754,-0.208619,8.8
G003.607-00.209,3.60754,-0.208619,-27.0
G003.650-00.122,3.65037,-0.121412,4.9
G003.664-00.098,3.66473,-0.0973653,6.2
G003.716-00.225,3.71676,-0.224746,-28.9
G003.716-00.225,3.71676,-0.224746,4.1
G003.928-00.116,3.928,-0.116,32.1
G003.959-00.094,3.95964,-0.0937529,6.5
G003.999+00.337,3.99996,0.337511,7.3
G004.343+00.115,4.34323,0.115925,7.0
G004.409+00.110,4.40923,0.110598,4.1
G004.557-00.124,4.55783,-0.123089,10.2
G005.068+00.275,5.06864,0.275003,12.0
G005.189-00.285,5.18933,-0.284667,1.9
G005.332+00.081,5.332,0.081,11.8
G005.475-00.243,5.47531,-0.242715,21.4
G005.484-00.232,5.48428,-0.231636,21.4
G005.524+00.033,5.524,0.033,23.3
G005.633+00.238,5.63321,0.238302,6.3
G005.637+00.235,5.63778,0.2354,6.3
G005.845-00.422,5.84571,-0.421791,9.5
G005.883-00.399,5.88308,-0.398406,9.9
G005.885-00.393,5.88556,-0.392498,-2.6
G005.885-00.393,5.88556,-0.392498,-11.8
G005.885-00.393,5.88556,-0.392498,43.9
G005.887-00.443,5.88775,-0.442507,9.9
G005.900-00.431,5.90039,-0.430417,8.6
G005.987-01.191,5.98781,-1.19095,2.7
G006.005-00.368,6.00553,-0.367388,-31.9
G006.005-00.368,6.00553,-0.367388,14.2
G006.077-00.135,6.07726,-0.134368,8.8
G006.100-01.263,6.10021,-1.26237,3.1
G006.128-00.252,6.12867,-0.251151,18.1
G006.142-00.641,6.14265,-0.64009,22.7
G006.160-00.608,6.16,-0.608,20.3
G006.200-00.342,6.20035,-0.341139,-29.3
G006.213-00.105,6.21352,-0.104794,14.5
G006.246-00.125,6.24671,-0.124506,15.0
G006.270-00.576,6.27035,-0.575476,20.3
G006.365-00.056,6.36506,-0.0553237,26.4
G006.366-00.053,6.36637,-0.0526859,26.4
G006.373-00.482,6.37394,-0.481405,19.0
G006.389-00.198,6.38935,-0.19768,23.7
G006.550-00.099,6.55085,-0.0981069,15.0
G006.616-00.717,6.61629,-0.716231,19.5
G006.930-02.130,6.93,-2.13,5.4
G007.015-00.271,7.01558,-0.270998,13.8
G007.039+00.175,7.03933,0.175667,8.9
G007.176+00.087,7.176,0.087,11.1
G007.205-02.180,7.2058,-2.17941,4.2
G007.220-00.212,7.22073,-0.211692,25.6
G007.266+00.183,7.266,0.183,-4.4
G007.268-00.060,7.26856,-0.05979,17.5
G007.268-00.060,7.26856,-0.05979,47.0
G007.294-02.044,7.29416,-2.04304,6.0
G007.303-00.125,7.30306,-0.124467,17.9
G007.380-00.264,7.38031,-0.263902,9.7
G007.380-00.264,7.38031,-0.263902,31.8
G007.420+00.366,7.42,0.366,-12.3
G007.443+00.704,7.44367,0.704,22.0
G007.466-00.279,7.46634,-0.278661,25.3
G007.470+00.059,7.47,0.059,-16.9
G007.485-00.189,7.48535,-0.188013,31.5
G007.485-00.189,7.48535,-0.188013,3.7
G007.485-00.189,7.48535,-0.188013,48.4
G007.700-00.123,7.70046,-0.122029,34.4
G007.700-00.123,7.70046,-0.122029,-2.5
G007.761+00.006,7.76152,0.00659699,-3.2
G007.812-00.618,7.81201,-0.617763,39.6
G008.006-00.169,8.00693,-0.168494,42.6
G008.107+00.338,8.10763,0.338612,16.7
G008.123-00.482,8.12376,-0.481232,37.0
G008.137+00.232,8.137,0.232627,20.3
G008.139-00.028,8.13946,-0.027167,40.0
G008.139-00.028,8.13946,-0.027167,16.5
G008.250-00.440,8.25099,-0.439053,38.9
G008.281-00.133,8.28155,-0.132573,46.8
G008.306-00.084,8.30657,-0.0834205,46.8
G008.347+00.065,8.34705,0.0650834,35.4
G008.347+00.065,8.34705,0.0650834,12.4
G008.358-00.295,8.35807,-0.29467,36.8
G008.368-00.356,8.36884,-0.355239,34.6
G008.433-00.275,8.43362,-0.274149,34.8
G008.456-00.351,8.45638,-0.350247,38.0
G008.462+00.122,8.46279,0.122488,17.4
G008.537-00.313,8.53716,-0.312527,39.2
G008.664-00.340,8.66461,-0.339893,41.9
G008.668-00.351,8.66817,-0.3508,41.9
G008.865-00.323,8.865,-0.323,31.0
G008.901-00.469,8.90191,-0.468056,22.2
G009.035-00.144,9.03536,-0.143651,20.3
G009.178+00.043,9.178,0.043,2.2
G009.405-00.091,9.40536,-0.0908905,46.0
G009.598+00.199,9.59861,0.199279,4.1
G009.612+00.205,9.61277,0.205945,4.1
G009.613+00.200,9.61398,0.200011,4.1
G009.688+00.208,9.68848,0.208776,2.0
G009.725-00.840,9.72533,-0.839401,32.1
G009.834-00.713,9.83416,-0.712686,26.6
G009.875-00.749,9.875,-0.748537,30.9
G009.913-01.002,9.9132,-1.00144,30.4
G009.942-00.761,9.94258,-0.760264,32.4
G009.997-00.033,9.99796,-0.0327148,39.9
G010.064-00.169,10.0648,-0.168134,23.4
G010.083-00.418,10.0832,-0.417551,13.6
G010.160-00.350,10.16,-0.35,13.3
G010.197-00.431,10.1979,-0.430625,36.2
G010.197-00.431,10.1979,-0.430625,5.4
G010.227-00.303,10.2278,-0.302851,11.7
G010.237-00.080,10.237,-0.08,51.2
G010.237-00.080,10.237,-0.08,12.0
G010.266+00.075,10.266,0.075,56.3
G010.308-00.150,10.3089,-0.149405,10.2
G010.321-00.266,10.3215,-0.265419,0.8
G010.321-00.266,10.3215,-0.265419,33.4
G010.330-00.818,10.3309,-0.817108,26.1
G010.331-00.278,10.3318,-0.277359,0.8
G010.331-00.278,10.3318,-0.277359,33.4
G010.453+00.029,10.453,0.0297818,70.2
G010.462+00.034,10.4622,0.0342831,70.2
G010.464+00.029,10.4641,0.0291089,70.2
G010.472+00.017,10.4726,0.0176017,68.5
G010.574-00.412,10.5746,-0.411472,0.1
G010.585-00.051,10.5859,-0.0505372,42.2
G010.585-00.051,10.5859,-0.0505372,65.8
G010.596-00.381,10.5965,-0.380113,0.7
G010.621-00.318,10.6211,-0.317772,-10.0
G010.623-00.385,10.6232,-0.384127,0.2
G010.629-00.342,10.6296,-0.341889,-9.1
G010.629-00.339,10.6297,-0.338341,-9.1
G010.638-00.434,10.638,-0.433445,-0.2
G010.689+00.031,10.689,0.031,34.5
G010.769-00.487,10.769,-0.486437,-0.2
G010.859-00.125,10.8595,-0.124739,-11.4
G010.859-00.125,10.8595,-0.124739,60.2
G010.877+00.084,10.8777,0.0842608,18.1
G010.964+00.006,10.9646,0.00669485,17.7
G011.035+00.065,11.0351,0.0658829,12.1
G011.074-00.228,11.074,-0.227624,34.0
G011.080-00.378,11.0804,-0.378,1.0
G011.112-00.402,11.1122,-0.401111,2.1
G011.170-00.066,11.1707,-0.0656114,21.7
G011.182-01.063,11.1826,-1.0625,25.1
G011.524-00.111,11.5244,-0.110088,28.1
G011.573+00.345,11.5735,0.345411,1.3
G011.646+00.205,11.646,0.205,56.8
G011.662-01.692,11.662,-1.69151,18.3
G011.731-00.009,11.731,-0.00830938,24.4
G011.746-00.137,11.7463,-0.136365,59.8
G011.769+00.567,11.7695,0.567522,26.6
G011.770-00.039,11.77,-0.039,2.1
G011.773-00.041,11.7739,-0.0401092,2.1
G011.776-00.149,11.7765,-0.148665,57.7
G011.795-00.029,11.7957,-0.0283,8.0
G011.795-00.029,11.7957,-0.0283,57.0
G011.816+00.242,11.816,0.24237,17.8
G011.840-00.191,11.8408,-0.190968,9.0
G011.840-00.191,11.8408,-0.190968,49.7
G011.888-00.224,11.8886,-0.223207,46.5
G011.888-00.224,11.8886,-0.223207,4.0
G011.893+00.748,11.8932,0.748848,25.1
G011.904-00.142,11.9046,-0.14102,42.1
G011.935-00.613,11.9356,-0.612777,40.3
G011.944-00.039,11.9443,-0.0381286,40.1
G011.995-00.246,11.9953,-0.245555,47.2
G012.064-00.284,12.064,-0.284,48.4
G012.145-00.001,12.145,-0.000273284,49.0
G012.184-00.114,12.1843,-0.113312,53.6
G012.184-00.114,12.1843,-0.113312,27.0
G012.192-00.105,12.1921,-0.104091,53.6
G012.192-00.105,12.1921,-0.104091,27.0
G012.193-00.145,12.1938,-0.144055,53.6
G012.193-00.145,12.1938,-0.144055,27.0
G012.193-00.112,12.1939,-0.111632,53.6
G012.193-00.112,12.1939,-0.111632,27.0
G012.194-00.129,12.1943,-0.128936,53.6
G012.194-00.129,12.1943,-0.128936,27.0
G012.199-00.034,12.199,-0.034,45.1
G012.202-00.110,12.202,-0.109784,53.6
G012.202-00.110,12.202,-0.109784,27.0
G012.208-00.106,12.2089,-0.10508,53.6
G012.208-00.106,12.2089,-0.10508,27.0
G012.215-00.120,12.2156,-0.11936,53.6
G012.215-00.120,12.2156,-0.11936,27.0
